tar1	tar2	tarPair	APF_score	Seq	APF_sim	Seq_distance
2	35	1Q41:3HNG	-270.487	51.1559	0.206039	0.974885
2	36	1Q41:3MPM	-288.009	40.852	0.278868	0.981741
2	37	1Q41:3NR9	-265.305	67.8318	0.232588	0.962525
2	38	1Q41:3OY1	-297.157	77.9093	0.252044	0.947889
2	39	1Q41:3PLS	-281.325	45.8547	0.250531	0.980342
2	40	1Q41:3POZ	-263.055	45.4568	0.16259	0.980222
2	41	1Q41:3PP0	-274.675	37.9378	0.177293	0.985958
2	42	1Q41:3Q4U	-303.851	32.4069	0.341213	0.990094
2	43	1Q41:3R04	-293.709	57.3956	0.303088	0.967452
2	44	1Q41:3RGF	-286.878	78.3318	0.200992	0.947655
2	45	1Q41:3SXS	-307.363	43.2857	0.2873	0.980656
2	46	1Q41:3V8S	-285.636	60.0288	0.316008	0.974605
2	47	1Q41:3VO3	-325.345	44.7298	0.294208	0.982116
2	48	1Q41:3VVH	-295.557	53.5719	0.151802	0.971557
2	49	1Q41:3WF7	-296.958	63.7214	0.246366	0.960619
2	50	1Q41:3ZBF	-289.082	37.024	0.324526	0.986629
2	51	1Q41:4AT5	-276.625	36.734	0.222466	0.987276
2	52	1Q41:4AU8	-319.032	104.214	0.366296	0.889888
2	53	1Q41:4B6L	-296.19	66.6197	0.263537	0.956146
2	54	1Q41:4BKY	-342.694	56.865	0.333451	0.970827
2	55	1Q41:4CLJ	-283.812	42.388	0.286761	0.983831
2	56	1Q41:4CRS	-280.937	65.0247	0.225448	0.965244
2	57	1Q41:4E93	-322.716	41.312	0.322032	0.98684
2	58	1Q41:4EYJ	-223.271	98.5969	0.152499	0.916574
2	59	1Q41:4F9C	-287.884	72.031	0.32262	0.950136
2	60	1Q41:4FYO	-266.715	40.0905	0.255137	0.983385
2	61	1Q41:4GCJ	-360.749	114.387	0.372035	0.87814
2	62	1Q41:4GIH	-280.432	50.8667	0.29647	0.975737
2	63	1Q41:4GV1	-277.976	62.0867	0.226093	0.967024
2	64	1Q41:4HCU	-268.255	46.8207	0.184134	0.976969
2	65	1Q41:4HGS	-273.871	39.0405	0.21519	0.986311
2	66	1Q41:4HVD	-348.728	52.3743	0.450636	0.972773
2	67	1Q41:4I4E	-290.501	44.4068	0.286355	0.978577
2	68	1Q41:4IM0	-316.167	43.1746	0.337625	0.991219
2	69	1Q41:4IVA	-300.64	57.0526	0.350319	0.968343
2	70	1Q41:4K33	-287.983	40.3301	0.246181	0.984308
2	71	1Q41:4KIK	-346.143	43.7317	0.388236	0.990936
2	72	1Q41:4KWP	-301.465	87.9042	0.340429	0.93517
2	73	1Q41:4L7F	-327.987	76.1521	0.297914	0.953819
2	74	1Q41:4NW6	-332.169	70.8341	0.380455	0.952242
2	75	1Q41:4OBO	-263.296	53.2621	0.286476	0.971296
2	76	1Q41:4PMM	-283.99	37.4334	0.21316	0.986718
2	77	1Q41:4QTE	-361.172	112.209	0.335552	0.899259
2	78	1Q41:4RFZ	-287.524	41.9219	0.225566	0.981197
2	79	1Q41:4RT7	-323.019	43.9468	0.26986	0.980794
2	80	1Q41:4TND	-235.401	59.67	0.194121	0.981548
2	81	1Q41:4TWC	-287.884	38.9319	0.24085	0.985759
2	82	1Q41:4U8Z	-305.583	49.8219	0.333771	0.974886
2	83	1Q41:4USF	-236.565	50.5131	0.184239	0.973512
2	84	1Q41:4WOT	-292.143	60.2071	0.204641	0.974174
2	85	1Q41:4X7Q	-301.604	48.137	0.265856	0.975391
2	86	1Q41:4XV2	-249.559	41.5868	0.161152	0.979998
2	87	1Q41:4YLK	-236.771	85.6075	0.216563	0.940415
2	88	1Q41:4YMJ	-312.813	34.7672	0.354611	0.987753
2	89	1Q41:5EAK	-335.984	55.2733	0.366429	0.971105
2	90	1Q41:5EBZ	-273.215	55.5648	0.269037	0.986559
2	91	1Q41:5EZV	-340.462	56.5788	0.368525	0.979595
2	92	1Q41:5GRN	-284.219	47.3679	0.183625	0.978136
2	93	1Q41:5H2U	-259.264	49.9691	0.21392	0.974108
2	94	1Q41:5JIX	-186.611	9.52169	0.0987235	0.998146
2	95	1Q41:5JZN	-346.311	57.6825	0.357119	0.964366
2	96	1Q41:5L0N	-156.677	8.87649	0.0941599	0.998173
2	97	1Q41:5LI9	-264.242	61.062	0.217387	0.968571
2	98	1Q41:5MY8	-282.26	50.9233	0.218438	0.979772
2	99	1Q41:5NKF	-306.444	48.1912	0.303227	0.977279
2	100	1Q41:5U6B	-294.95	37.8306	0.292975	0.985049
2	101	1Q41:5UYJ	-306.58	52.9706	0.294903	0.971578
2	102	1Q41:5BX6	-286.975	63.4221	0.436919	0.966762
2	103	1Q41:4MXO	-304.849	41.0739	0.300992	0.982651
2	104	1Q41:5G1X	-269.274	65.3876	0.255685	0.953771
2	105	1Q41:5HU9	-295.232	42.8096	0.183552	0.981218
2	106	1Q41:3KN5	-229.962	49.2213	0.191084	0.975191
2	107	1Q41:3BBT	-245.665	44.2346	0.169537	0.980391
2	108	1Q41:3S95	-322.007	55.3666	0.359562	0.971842
2	109	1Q41:5HES	-293.874	47.1604	0.177243	0.978151
3	1	1S9I:1CM8	-357.849	50.3647	0.174657	0.974539
3	2	1S9I:1Q41	-298.753	58.4852	0.152867	0.967885
3	3	1S9I:1S9I	-1140.73	306.983	1.	0.
3	4	1S9I:1T46	-354.166	50.2974	0.131146	0.973309
3	5	1S9I:1UA2	-361.369	69.3739	0.154387	0.947055
3	6	1S9I:1X8B	-295.2	53.5086	0.145011	0.963659
3	7	1S9I:1XJD	-340.927	62.2583	0.160348	0.957629
3	8	1S9I:2C47	-256.275	38.3741	0.140431	0.984007
3	9	1S9I:2CMW	-250.524	37.7396	0.103529	0.984994
3	10	1S9I:2DQ7	-353.015	55.7724	0.203212	0.9627
3	11	1S9I:2HW7	-198.072	54.0374	0.098218	0.966358
3	12	1S9I:2I1M	-281.672	49.3706	0.121693	0.974936
3	13	1S9I:2JDO	-358.127	71.1411	0.180732	0.949012
3	14	1S9I:2NRU	-318.399	58.9895	0.13836	0.959749
3	15	1S9I:2QD9	-289.229	54.1444	0.106319	0.9711
3	16	1S9I:2RKU	-308.348	58.63	0.124952	0.962899
3	17	1S9I:2V7O	-321.356	58.6178	0.163688	0.964371
3	18	1S9I:2VZ6	-313.335	49.4219	0.157146	0.973436
3	19	1S9I:2WEL	-283.017	60.8394	0.139703	0.961194
3	20	1S9I:2X2M	-282.388	61.3622	0.166956	0.95796
3	21	1S9I:2X4Z	-322.592	82.1836	0.150134	0.923783
3	22	1S9I:2XNM	-263.689	64.4907	0.104405	0.948611
3	23	1S9I:2Y7J	-308.526	61.1585	0.149056	0.957606
3	24	1S9I:2YCF	-321.361	54.368	0.152932	0.966226
3	25	1S9I:2YEX	-262.24	61.0575	0.140483	0.957304
3	26	1S9I:3BHY	-376.841	65.2966	0.215264	0.946306
3	27	1S9I:3BLR	-354.125	53.9126	0.172544	0.969242
3	28	1S9I:3E7O	-274.702	56.0425	0.140485	0.970289
3	29	1S9I:3EQR	-347.818	53.9632	0.159168	0.966608
3	30	1S9I:3F66	-290.296	49.5688	0.148223	0.973232
3	31	1S9I:3FHR	-294.751	43.0286	0.134792	0.978477
3	32	1S9I:3FXZ	-265.701	80.601	0.109403	0.925066
3	33	1S9I:3FZT	-256.167	43.1587	0.0750248	0.978154
3	34	1S9I:3HDM	-289.371	64.6659	0.148305	0.953789
3	35	1S9I:3HNG	-335.845	54.3014	0.142538	0.968017
3	36	1S9I:3MPM	-308.245	55.3692	0.143345	0.962091
3	37	1S9I:3NR9	-330.014	52.1533	0.161477	0.974962
3	38	1S9I:3OY1	-328.464	52.3751	0.138173	0.973383
3	39	1S9I:3PLS	-380.743	49.5388	0.205876	0.974069
3	40	1S9I:3POZ	-506.804	59.7564	0.270755	0.961371
3	41	1S9I:3PP0	-425.316	57.7224	0.190711	0.96326
3	42	1S9I:3Q4U	-318.669	42.5702	0.168399	0.98068
3	43	1S9I:3R04	-278.574	46.8152	0.122306	0.975526
3	44	1S9I:3RGF	-314.985	47.1458	0.108722	0.978569
3	45	1S9I:3SXS	-371.533	55.6261	0.188337	0.963895
3	46	1S9I:3V8S	-332.212	63.7253	0.191777	0.967655
3	47	1S9I:3VO3	-378.116	50.3907	0.178253	0.974348
3	48	1S9I:3VVH	-910.373	263.487	0.646189	0.222373
3	49	1S9I:3WF7	-314.956	63.4505	0.124325	0.955869
3	50	1S9I:3ZBF	-315.129	53.4894	0.173026	0.968458
3	51	1S9I:4AT5	-332.468	54.6213	0.144163	0.968205
3	52	1S9I:4AU8	-189.33	60.785	0.0898304	0.957662
3	53	1S9I:4B6L	-301.282	57.2624	0.122311	0.963381
3	54	1S9I:4BKY	-394.111	56.099	0.19789	0.967911
3	55	1S9I:4CLJ	-327.343	51.0067	0.171175	0.973538
3	56	1S9I:4CRS	-409.55	61.3015	0.214947	0.965088
3	57	1S9I:4E93	-349.887	59.0769	0.169831	0.969584
3	58	1S9I:4EYJ	-276.797	48.603	0.105181	0.977088
3	59	1S9I:4F9C	-327.235	44.344	0.187018	0.978641
3	60	1S9I:4FYO	-287.521	52.304	0.132988	0.968038
3	61	1S9I:4GCJ	-328.867	70.8105	0.138703	0.947221
3	62	1S9I:4GIH	-294.11	53.6823	0.146287	0.969458
3	63	1S9I:4GV1	-375.135	71.1954	0.184714	0.950993
3	64	1S9I:4HCU	-413.45	56.2415	0.19623	0.962441
3	65	1S9I:4HGS	-278.377	39.1355	0.0997487	0.984454
3	66	1S9I:4HVD	-315.487	63.1092	0.165462	0.955321
3	67	1S9I:4I4E	-280.711	45.8487	0.119957	0.974189
3	68	1S9I:4IM0	-347.792	43.4187	0.183299	0.989963
3	69	1S9I:4IVA	-344.897	66.2462	0.206881	0.951761
3	70	1S9I:4K33	-373.929	47.9034	0.186233	0.974979
3	71	1S9I:4KIK	-374.859	50.2124	0.204281	0.986495
3	72	1S9I:4KWP	-206.381	43.2719	0.0996288	0.982245
3	73	1S9I:4L7F	-313.041	52.2336	0.121779	0.975444
3	74	1S9I:4NW6	-335.619	68.7671	0.174276	0.949128
3	75	1S9I:4OBO	-264.85	78.9464	0.130055	0.928727
3	76	1S9I:4PMM	-319.581	50.1864	0.121092	0.973018
3	77	1S9I:4QTE	-358.831	59.2926	0.148612	0.968208
3	78	1S9I:4RFZ	-355.877	55.0186	0.15505	0.963396
3	79	1S9I:4RT7	-347.184	51.9221	0.139842	0.969699
3	80	1S9I:4TND	-305.605	63.5846	0.146771	0.976319
3	81	1S9I:4TWC	-276.87	35.2294	0.0999454	0.986821
3	82	1S9I:4U8Z	-308.086	99.1167	0.152215	0.887664
3	83	1S9I:4USF	-327.028	82.577	0.15799	0.919995
3	84	1S9I:4WOT	-394.974	63.0657	0.16783	0.967974
3	85	1S9I:4X7Q	-312.418	40.8582	0.127975	0.979962
3	86	1S9I:4XV2	-397.336	48.8426	0.183284	0.968817
3	87	1S9I:4YLK	-265.46	49.2901	0.122126	0.977675
3	88	1S9I:4YMJ	-314.088	53.7076	0.160405	0.96697
3	89	1S9I:5EAK	-328.193	66.0848	0.156846	0.953317
3	90	1S9I:5EBZ	-226.264	56.8039	0.082771	0.984124
3	91	1S9I:5EZV	-336.046	65.5988	0.161096	0.968999
3	92	1S9I:5GRN	-350.832	47.2208	0.125517	0.975442
3	93	1S9I:5H2U	-336.55	56.8392	0.161721	0.962137
3	94	1S9I:5JIX	-226.95	12.7513	0.0655067	0.996242
3	95	1S9I:5JZN	-342.141	56.5247	0.156385	0.961326
3	96	1S9I:5L0N	-168.823	13.9781	0.0508553	0.994879
3	97	1S9I:5LI9	-343.476	68.0868	0.164791	0.955836
3	98	1S9I:5MY8	-357.153	49.5182	0.156892	0.978383
3	99	1S9I:5NKF	-214.362	46.5497	0.0962263	0.97604
3	100	1S9I:5U6B	-331.35	51.4185	0.165926	0.968783
3	101	1S9I:5UYJ	-318.537	61.1026	0.142827	0.957258
3	102	1S9I:5BX6	-264.694	67.1584	0.166751	0.957877
3	103	1S9I:4MXO	-333.966	53.559	0.162082	0.966661
3	104	1S9I:5G1X	-349.39	72.0672	0.193138	0.936532
3	105	1S9I:5HU9	-376.798	56.2614	0.134137	0.963337
3	106	1S9I:3KN5	-283.915	44.374	0.130678	0.977211
3	107	1S9I:3BBT	-452.381	58.4088	0.257924	0.961359
3	108	1S9I:3S95	-325.376	70.4852	0.16472	0.948422
3	109	1S9I:5HES	-432.091	52.9315	0.171889	0.968893
4	1	1T46:1CM8	-337.71	44.1398	0.211627	0.980556
4	2	1T46:1Q41	-295.441	43.9421	0.203443	0.981975
4	3	1T46:1S9I	-354.094	50.2974	0.131146	0.973309
4	4	1T46:1T46	-838.279	308.758	1.	0.
4	5	1T46:1UA2	-247.753	45.622	0.0987371	0.977234
4	6	1T46:1X8B	-339.208	49.4273	0.260526	0.96917
4	7	1T46:1XJD	-341.285	60.0711	0.218673	0.96078
4	8	1T46:2C47	-227.887	34.295	0.151116	0.9873
4	9	1T46:2CMW	-219.776	40.3645	0.108416	0.982932
4	10	1T46:2DQ7	-360.984	114.557	0.289157	0.843535
4	11	1T46:2HW7	-306.659	43.2374	0.198374	0.978586
4	12	1T46:2I1M	-301.786	236.836	0.190075	0.42654
4	13	1T46:2JDO	-184.666	49.1556	0.0978455	0.975797
4	14	1T46:2NRU	-323.664	57.2723	0.194616	0.962276
4	15	1T46:2QD9	-386.083	50.3677	0.257784	0.975135
4	16	1T46:2RKU	-282.422	60.9343	0.142622	0.960155
4	17	1T46:2V7O	-284.975	43.3836	0.175178	0.980596
4	18	1T46:2VZ6	-254.505	40.9714	0.141022	0.981849
4	19	1T46:2WEL	-263.57	44.1926	0.164893	0.979643
4	20	1T46:2X2M	-290.747	158.957	0.240884	0.719509
4	21	1T46:2X4Z	-270.428	55.2099	0.143571	0.965801
4	22	1T46:2XNM	-237.352	49.6729	0.115091	0.969688
4	23	1T46:2Y7J	-298.949	53.7328	0.190482	0.967464
4	24	1T46:2YCF	-245.678	40.3094	0.121645	0.981541
4	25	1T46:2YEX	-272.836	58.3721	0.206901	0.961202
4	26	1T46:3BHY	-254.858	51.8296	0.134002	0.966365
4	27	1T46:3BLR	-323.752	49.0859	0.196248	0.974649
4	28	1T46:3E7O	-288.97	44.6999	0.211524	0.981207
4	29	1T46:3EQR	-454.033	108.574	0.369034	0.865603
4	30	1T46:3F66	-289.099	110.804	0.200074	0.867017
4	31	1T46:3FHR	-261.61	39.5885	0.144486	0.981886
4	32	1T46:3FXZ	-257.145	58.826	0.139436	0.960314
4	33	1T46:3FZT	-398.647	103.477	0.247192	0.875143
4	34	1T46:3HDM	-276.871	47.9134	0.184771	0.974777
4	35	1T46:3HNG	-585.105	193.216	0.588692	0.597396
4	36	1T46:3MPM	-404.772	112.928	0.336258	0.843215
4	37	1T46:3NR9	-302.526	43.0483	0.184649	0.983039
4	38	1T46:3OY1	-370.939	37.1779	0.239769	0.986666
4	39	1T46:3PLS	-241.641	112.232	0.112846	0.867671
4	40	1T46:3POZ	-387.235	98.9437	0.215102	0.894704
4	41	1T46:3PP0	-391.519	101.077	0.219925	0.887993
4	42	1T46:3Q4U	-321.707	47.8086	0.233559	0.975773
4	43	1T46:3R04	-307.524	45.1385	0.202821	0.977379
4	44	1T46:3RGF	-495.39	35.589	0.3659	0.987858
4	45	1T46:3SXS	-387.888	109.639	0.279317	0.860545
4	46	1T46:3V8S	-281.035	41.4972	0.18675	0.986363
4	47	1T46:3VO3	-599.351	200.034	0.609474	0.598095
4	48	1T46:3VVH	-365.902	54.0107	0.142051	0.967513
4	49	1T46:3WF7	-274.324	58.5335	0.128351	0.962659
4	50	1T46:3ZBF	-182.481	111.469	0.127075	0.863807
4	51	1T46:4AT5	-374.934	112.075	0.249498	0.866912
4	52	1T46:4AU8	-310.142	55.7493	0.211337	0.964591
4	53	1T46:4B6L	-289.324	53.55	0.153501	0.96816
4	54	1T46:4BKY	-340.987	50.2156	0.20153	0.974437
4	55	1T46:4CLJ	-299.235	110.494	0.194625	0.876537
4	56	1T46:4CRS	-291.356	56.1106	0.148036	0.970919
4	57	1T46:4E93	-310.075	111.576	0.181509	0.89213
4	58	1T46:4EYJ	-443.606	49.5817	0.367566	0.976293
4	59	1T46:4F9C	-298.387	42.0726	0.211592	0.980884
4	60	1T46:4FYO	-231.473	102.375	0.117301	0.878255
4	61	1T46:4GCJ	-345.439	49.3063	0.208287	0.974557
4	62	1T46:4GIH	-271.681	99.0891	0.169862	0.896537
4	63	1T46:4GV1	-300.274	46.0347	0.161044	0.979629
4	64	1T46:4HCU	-313.508	106.853	0.153561	0.865205
4	65	1T46:4HGS	-285.259	40.7249	0.11664	0.983262
4	66	1T46:4HVD	-303.915	100.327	0.20896	0.887733
4	67	1T46:4I4E	-283.002	104.987	0.165899	0.865443
4	68	1T46:4IM0	-321.733	36.8013	0.213427	0.992831
4	69	1T46:4IVA	-282.497	97.4828	0.188879	0.896144
4	70	1T46:4K33	-309.273	177.073	0.173354	0.660079
4	71	1T46:4KIK	-348.911	41.609	0.240825	0.99078
4	72	1T46:4KWP	-293.564	49.5588	0.197095	0.976845
4	73	1T46:4L7F	-311.582	39.0445	0.164161	0.986358
4	74	1T46:4NW6	-286.65	54.4415	0.172978	0.968299
4	75	1T46:4OBO	-327.819	56.0548	0.271082	0.964274
4	76	1T46:4PMM	-486.488	115.264	0.381877	0.85849
4	77	1T46:4QTE	-327.336	53.0102	0.168296	0.974735
4	78	1T46:4RFZ	-283.437	111.85	0.133849	0.849591
4	79	1T46:4RT7	-568.829	212.478	0.510922	0.495491
4	80	1T46:4TND	-216.608	47.6448	0.100347	0.98678
4	81	1T46:4TWC	-292.987	47.426	0.152292	0.976253
4	82	1T46:4U8Z	-332.253	60.6259	0.240879	0.958213
4	83	1T46:4USF	-377.828	57.8171	0.286984	0.961005
4	84	1T46:4WOT	-313.474	41.6036	0.143856	0.986143
4	85	1T46:4X7Q	-300.075	42.4324	0.160655	0.978512
4	86	1T46:4XV2	-391.32	80.7716	0.241913	0.915213
4	87	1T46:4YLK	-265.78	49.0805	0.166629	0.977992
