PUBCHEM_SID	1UA2	3RGF	3BLR	2YEX	3NR9	2I1M	3BHY	4YLK	3HNG	4RT7	2DQ7	4TND	1Q41	4IVA	4HVD	3VO3	3MPM	3S95	3VVH	1S9I	4OBO	2QD9	4L7F	3E7O	3PLS	2XNM	4PMM	4AT5	4YMJ	2X4Z	5GRN	3R04	5EZV	5BX6	1XJD	4I4E	2X2M	3V8S	4NW6	5G1X	4IM0	3F66	4HCU	2RKU	4GV1	2JDO	4B6L	3POZ	3PP0	4K33	1T46	4X7Q	5H2U	4GIH	4WOT	3HDM	5UYJ	3OY1	4BKY	3ZBF	4U8Z	2WEL	2V7O	4F9C	4GCJ	2YCF	2CMW	2C47	4HGS	2NRU	4QTE	2HW7	2Y7J	4CRS	3KN5	3WF7	4MXO	4KWP	3FXZ	5LI9	4USF	4TWC	5JZN	5NKF	3BBT	1CM8	4EYJ	3FHR	5MY8	5HES	5L0N	5JIX	5U6B	5EBZ	4E93	5EAK	3FZT	4FYO	4KIK	1X8B	4XV2	3SXS	4CLJ	4RFZ	2VZ6	4AU8	5HU9	3EQR	3Q4U
103904217	7.6	7.6	7.8		7.8		7.9	7.4		8.9			5.5	5.9	7.4						7.6									7		6.9		8					6.4																5.6				8.9		7.5	6.6		9	6.8									8.6																								5.8								6.9			
103904523	6.9	5.4	5.8		7.5		7.9	7.5		6.7				6.1	5.3						6									6.1		5.4		5.5					5.6																5.8				6.5		5.5	5.7		9.1	7.4					5.2				5.3																								5.8								7.2			
103904218	6.8	7.6	7		7.5		7.8	7.2		7.9			5.4	5.5	6.3						6.8									6.5		6.4		7.7				7.6	6.1																6.1				8.2		6.5	6.3		8.2	6.3									7.7																								5.8								6.5			
103904522	6.4	7.5	5.8		7.5		7.8	6.8		5.9			7.4	5.5	5.3						5.3									5.6		5.2		5.4					5.6																5.3				6.1		5.5	5.8		9.4	6.6									5.3																								5.8								6.8			
103905209				5.1	6.3	5.8	7.8	7.6	6.4	6.1	6.1		5.2	5.8	5.8	5.1	5.6	5			6		5.5	5.5		5	5.6	5.3	5.9	5.3		6.8	5.2	5.1		5.8	5.9	5.2	5.1	5.5		5.5	5.8	5.1	5.1	5.1	5.4	6.7	5.8	5.7	5.9	6.8	5.6	5.7	5.1	5.3			5.8	5.7	5.1	5.7	5.7	7.1	5.1	5.5	5.6	6.2	5.6	5.3	5.1	5.8	6.1	5.1	5.7	5.7	5.7	7.5	5		5	6	5	5.1	5.4	5.2	5.1	5	5.2	5.1	5.7	5.8	5.7	5.4	5.7	5.1	5.8	5.8	5.5				5.9	5.9		5	6.2		
103904926				6.1	6.2	5.7	7.8	8.1	6.4	5.9	6.1		6.3	6.1	6.4	5.7	5.6	5			7.4		5.5	5.9		5	5.6	5.3		5.3		6.1	5.7	5.1		5.8	5.9	5.5	6.1	5.8		5.5	5.8	5.1	5.1	5.1	5.1	5.7	5.8	5.7	5.9	7.1	5.6	6.4	5.1	5.2			5.8		5.4			6.6	6	5.3		5.3		5.3	5.1	5.6	5.7	5.1	5.7	6.3	5.8		5		5.6	5.1	5	5.5	5.4	5.2	5.1	5	6.7	5.1	5.7	5.8	6.1	5.4		5.2	5.8		5.5				5.9			5	6.2		
103904937				6.9	5.1	5.9	7.8	6	7.6	6.3	6.1		6.1	5.8	5.8	6.8	5.6	6.3			6.6		5.5	5.6		6.5	5.6	5.3		5.3		6.1	6.6	5.1		5.8	6.6	6.2	5.1	6.9		6.3	5.8	6.5	5.1	5.1	7.8	5.7	5.8	5.9	5.9	5.8	5.6	5.7	6.3	6			7.3		5.1			6.9	6.5	7.7		7.2		5	6.4	7.6	5.3	6	5.7	5.2	5.4	6.5	5		5.7	5.1	5	5.1	5.4	5.2	5.1	5	5.1	6.2	5.7	5.8	6.5	5.4		6.5	5.8		5.5				5.9			5.9	6.2		
103905259				6.3	7.6	6.2	7.7		6.7	6.1	6.1		5.5	6.2	6.3	6.5	6.6	5.9					7.2	7.1		6.2	5.6	5.3		5.3		6.6	7.5	5.1		5.8	5.9	6.6	5.6	6.5		7.9	5.8	6.3	5.7	5.1	6	6.4	5.8	5.7	5.9	5.9	5.6	5.9	6.4	6			6.4		5.8			7	5.8	7.8		8.4		6.3	6.3	7.8	6.8	7.4	5.7	6.1	5.5	6.4	5		6.3	7.5	5	5.1	5.4	6.6	6.9	5.9	6.5	6.8	5.7	5.8	7.3	6.9		7.1	6.2		6.8				5.9			5.9	6.3		
103905558	7.3	5.4	5.8	6.2	5.3	6.9	7.7	5.7	7.6	8.4	6.4	5.4	5.9	7.6	6.5	7.5	7.5	6.5	6.3	6.5	5.4	5.4	5.4	5.4	6.4	5.2	7.2	6.7	7.1	6.4	7.4	5.1	6.3	5.5	5.6	5.5	8	5.5	5.4	7.8	6.8	5.7	6.8	5.1	5.1	5.1	5.1	5.7	5.8	7	6.4	5.8	5.9	6.7	5.1	5			5.8	6.7	5.4	5.2	5.2	5.9	5.1	5.8	5.2	5.1	5.2	6.4	5.1	5	5.3	5.1		6.1	7.8	5.2	5.6	5.3	6.3	5.1	5	5.6	5.4	5.2	5.1	5	5.1	5.1	5.7	5.8			5.7			6.5					5.6	6.3	5.2	5.2	6.7	6	7.5
103904997				5.1	5.2	5.6	7.7	5.9	6.5	6.8	6.1		5.3	5.8	5.8	6.2	5.6	5.1			5.4		5.6	6.4		5	5.6	5.3	6	5.3		5.2	5.9	5.1		5.8	6.8	5	5.1	5.8		5.5	5.8	5.1	5.1	5.1	5.3	5.7	5.8	5.7	5.9	5.8	5.6	5.7	5.1	5.5			7.1	5.7	5.5	5.3	5.2	5.9	5.1	7.8	5.8	5.9	5.2	5	6.6	6.5	5.3	5.6	5.7	5.2	5.7	5.2	5	5.3	5.3	5.1	5	5.5	5.4	5.2	5.1	5	5.1	5.1	5.7	5.8	5.7		5.7	6.3	5.8	5.8					5.9	5.9		5.4	6.2		
103904754				6.4		5.6	7.7	8.6	6.4	7.5	6.4		7.2	6.5	7.3	6.4	6.4	6.1			8.4		6.5	6.4		5.7	7.1	6.5	7.9	5.9			7.7	7.9		5.8	7.3	7.5		5.8		5.5	5.9	5.6			6.3	6.6	6	5.7	6.9	9	5.6	5.7	7.9	7.6			8.3	6	7.9	7.8	7.6	6.6	6.9	7.3	5.9	6.1	5.9	6.6	6.4	6.5	7.9	8.3	7.6		6.4	5.2	6.4		6.8	6.4	6	5.5	5.4	5.6	6.1	5	7.1	5.6	8.9	8.4	8	6.4	5.7	7.1	5.8	5.8	5.9				5.9	6.3		6.7	6.2		
103904938				7		5.6	7.7	5.5	7.6	6.2	6.1		5.2	5.8	5.8	6.8	5.6	6.5					5.6	5.6		6.2	5.6	5.3		5.3		5.7	6.2	5.1				6	5.1	7.4		5.5	5.8	6.7	5.1	5.1	7.9	5.7	5.8	6	5.9	5.8		5.7	6.2	5.7					5.1				6.2	7.5				5	6.7					5.5	5.3	6.5	5			5.1		5.1	5.4	5.3	5.1	5						5.4		6.6			5.5				5.5			6.1	6.2		
103904229	6.4	7.3	7		7.6		7.6	8.2		8			5.7		5.3						6.8									6.2		6.7		7.4																					7.5						6	6.4		8.7	6.5									7.7																								5.8								6.8			
103904226	6.8		8.3		7.3		7.6	7.4		9.1			5.9		6.6						7.3									6.9		6.6		8.4				8.6																	8.4						7.4	6.5		9	7.4									8.6																								5.8								8.9			
103904405	6.5	5.7	7.2	6.9	7.3	7.2	7.6	7.2	7.4	6.5	5.9	5.4	5.4	7.5	6.5	7.8	5.5	6.8	6.1	6	5.6	5.5	7.5	7.1	6.1	6.6	5.5	5.8	5.5	6.3	6.6	5.2	7.3	6.7	5.6	7.1	7.1	7	6.3	6.9	6.8	6.3									7.2																							5.9																										7.1			6.6	5.6	5.4	8.1	7.1	6.8	7.4
103904482				5.1	6.8	5.6	7.6	6.3	6.4	5.6	6.1		5.9	6.8	6.5	5.7	5.6	5.3			5.5		5.5	5.4		5	5.9	5.3	5.9	5.3		5	5.8	5.7		5.8	5.9	6.3	5.1	5.8		5.5	5.8	5.1	5.1	5.1	5.3	5.7	5.8	5.7	5.9	5.8	5.6	6.8	6.5	6.6			5.8	6.8	5.1	5.6	5.9	7.3	6.6	5.8	5.8	6	5.8		5.5	5.8	5.3	5.9	5.7	5.7	5.7	5.8	5	5.3	5	5.1	5.3	5.5	5.4	5.4	5.6	5	5.1	5.1	6.9	5.8	5.7		5.7	6.4	5.8	5.8					5.9	5.9		6	6.2		
103905208	5.8			5.1	6.7	5.6	7.6	7.7	6.4	5.6	6.1		5.5	5.8	5.8	5.1	5.6	5.1			6.3		5.5	5.4		5	5.6	5.3	5.9	5.3		6.9	5.8	5.1		5.8	5.9	5.1	5.5	5.8	5.8	5.5	5.8	5.1	5.1	5.1	5.1	5.7	5.8	5.7	5.9	6.6	5.6	5.7	5.1	5.3			6	5.7	5.1	5.9	5.8	7.3	5.1	5.8	5.6	6.4	5.4	5.3	5.1	6.9	6.5	5.1	5.7	5.5	5.7	7.7	5	5.3	5	5.6	5	5.5		5.2	5.1	5	5.5	5.1	5.7	5.8	5.7		5.7	5.1	5.8	5.8					5.9	5.9		5	6.2		
103905260				5.1	5.9	5.6	7.6	8.4	6.4	5.7	6.1		5.2	5.8	5.8	5.1	5.6	5			6.8		6.5	6.4		5	5.6	5.3	5.9	5.3		7.1	6	5.1		5.8	5.9	5	5.1	6		5.5	5.5	5.1	5.1	5.1	5.1	5.7	5.8	5.7	5.9	6.4	5.6	5.7	5.1	5			5.9	5.7	5.1	6.1	5.4	5.9	5.1	6.8	6.6	6.5		5	6.4	6	5.6	5.2	5.7	6	5.4	6.2	5	5.3	5	6.7	5	5.3	5.4	5.3	5.1	6.8	5.4	5.1	5.7	5.8	5.7	5.4	5.7	5.1	5.8	5.8	5.5				5.9	5.9		5	6.2		
103904231	7.4	8.8	8.5		8.5		7.5	8.5		8.4			6.9		7.2						8.2									7.4		7.5		7.9				8.4																	8.1						6.8	6.4		9.5	7.7									7.8																								5.8								8.2			
103904592				6.4	7.8	5.6	7.5	7.3	7.6	8.4	7.6		6.9	9.1	8.2	7.3	6.9				7.2		8.6	8.2		6.7	7.1	6.9	8.3	7.8		5	7.7	7		7	7.9	6.1	7.6	8.8		6	8.4	6.1	6.5	5.9	6.3		6.7	7.4	6.2	5.8	6.7	8.2	6.7	6.4			6.2	7.2	6.9	6.9	7.2	7.5	8.1	7.5	6.2	6.5	5.2	6.9	6.5	7	7.1	6.9	7	7	6.8	8.4	6.5	5.3	7.8	5.6	6.1	5.6	6.9	7.4	6.8	5	6.5	6.5	5.9	5.8	8.1		7.4	7.4	8	8.5					7.3	6.8		8.1	7		
103904505	6.9	5.4	6.3	5.4	7.2	5.8	7.5	7	6.7	5.9	6.6	6.4	7	6.9	6	6.4	5.6		5.9		6.3	5.4	6.2	6.6	6.1	5.2	5.8	5.3	7.1	6.3		5.3	7.2	6.3		5.2	6.9	5.9	5.9	6.4	7.6	5.5		5.1	5.2	5.1		5.7		6.8	5.9	5.6		7.7	6.1	6			6.4		6.1	6.1	6.5	8.9	7.9	7.3	7.6	8.2	7.1	5.6	7	5.5	6.5	6.3		7	6.5	7.8	5	5.4	5.7	6	5.3	5.5	5.4	6.2	6.3	5	5.8	5.1	6.2	5.8			5.7			7.7					5.2	5.4	6.4	7.9	6.2	5.4	6
103904465				5.1	6.5	5.6	7.5	7.4	6.4	6	6.1		7.7	7.9	6.5	5.4	5.6	6.8			6.3		5.9	5.5		5.1	5.6	5.3	5.9	5.8		5.3	7	7		5.8		6.6	5.6	7.3		5.5	5.3	5.1	6.2	5.6	5.6	5.7	5.8	5.8	5.9	5.8		7	7.1	7.2			6.4	5.7	5.1	5.9	5.2	8.1	7.6	6.5		6.9		5.5		6.8	5.4	6.6	7.7	7.2	5.7	6.6	5	5.8	5	5.7	5.3	5.5	5.4	5.4	5.7	5	5.1	5.1	8	6.7	5.7		5.7	6.5	5.8	5.8						5.9		6.2	6.2		
103905585				5.1	5.1	5.6	7.5	5.4	6.4	5.6	7		6.5	5.8	5.8	5.5	5.6	5			6.1		5.5	5.4		5	6.4	5.3	5.9	5.3		7.6	5.9	5.1		5.8	5.9	5	6.7	5.8		5.6	5.8	6.4	5.7	5.5	6.4	5.7	5.8	5.7	5.9	7.5	5.6	5.7	5.1	5.8			5.8	6.6	5.1	6.7	6	6.1	5.1	5.8	5.2	5.1	5.5		5.1	5.9	5.3	5.1	6.3	6.4	5.7	7.1	5	5.3	5.7	5.1	5	5.5	5.4	5.2	5.1	5.8	6.3	5.8	5.7	5.8	5.7		5.7	5.1	5.8	5.8					5.9	5.9		5	7.1		
103904512				5.1		5.6	7.5	7.2	6.4	5.6	6.1			6.2	5.8	5.1	5.6	5.7						5.8		5	5.6	5.3		5.3		5.7	6.1	6.5				7.7	6.6	7.2		5.5	5.8	5.1	5.8	5.3	5.1	5.7	5.8	5.7	5.9			5.7	8.6						5.3				7.5	5.7				5	6.9						5.7	5.8	5			5.7		5.5	5.4	5.2	5.4	5						6												6.5	6.2		
103905546				5.1		5.6	7.5	7.4	6.4	5.6	6.1			5.8	5.8	5.5	5.6							5.4		5	5.6	5.3		5.3		8.2	5.8	5.1				5	5.5	5.2		5.6	5.8	5.1	5.1	5.1	5.1	5.7	5.8	5.7	5.9			5.7	5.1						6.4				5.1	5				5	5.1						5.7	6	5.2			5.4		5.5	5.4	5.2	5.1	5						5.4												5	6.2		
103904234	8.2		8.4		8.4		7.4	9.1		6.7			6.3		5.5						7									6		5.7		6.8				8.3																	8.1				8.3		6.3	5.6		8.8	7.4									7																								5.8								8.7			
103904202	8.2		7.5	5.9	7.4	5.6	7.4	8.1	6.4	6.5	6.1		6.7	6.1	5.9	5.1	5.6				7.5		5.5	5.4		5	6.2	5.3	6.8	7		6.3	6.1	7.6			6.6	8.3	7			5.5	5.8	5.1	6.2	5.8	5.1	5.7	5.8	5.7	5.9	6	5.6	5.7		5.8			7	5.7	6.6	7.4	7.1	8	7.9	5.8	6.5	6.4	6.6	8.3	6.3	6.9	6.8	6.6		6.3	5.7	5.2	5.5	6.7	6.5	6.1	5.5	5.5	5.4	6.3	6.4	5	5.9	5.1	6.8	5.9			5.9			5.8					5.9	5.9		7.3	6.2		
103904544	7	5.4	6.7		7.1		7.4	7.5		7.8					6.3						6.8									7		5.3		6.4				7.3																	6.3				7.4		6	5.5		9.5	7.3					6.1				5.9																								5.8								7.5			
103905205				5.1	6.9	5.6	7.4	8.2	6.4	5.6	6.1		6.1	5.8	5.8	5.1	5.6	5			5.7		5.5	5.4		5	5.6	5.3	5.9	5.3		7.4	5.8	5.1		5.8	5.9	5	5.3	5.8		5.5	5.8	5.4	5.1	5.1	5.9	5.7	5.8	5.7	5.9	7.6	5.6	5.7	5.1	5.5			5.8	5.7	5.1	5.6	5.3	7	5.1	5.8	7.7	6.2	5.9	5	5.1	6.4	5.3	5.1		5.4	5.7		5	5.3	5	5.8	5	5.5	5.4	5.2	5.1	5	5.1	5.1	5.7	5.8	5.7		5.7	5.1	5.8	5.8					5.9	5.9		5	6.2		
103904260	5.4	7	6.4		5.7		7.4	7.3		7			7.8		6.8						7.8									7.6		6.4		7.2				7.4																	7.2				7.6		7.4	5.5		9.4	6.4									7.2																								5.8								6.4			
103904979				5.1	5.1	5.6	7.4	6.8	6.4	5.6	6.1		6.9	5.8	5.8	5.1	5.6				5		5.5	5.4		5	5.6	5.3	5.9	5.3		7.5	5.8	5.1			5.9	5.2	5.1	5.8		5.5	5.8	5.1	5.1	5.1	5.1	5.7	5.8	5.7	5.9	5.8		5.7	5.4	5			5.8	5.7	5.1	5.2	5.2	7.9	5.1	5.8	5.2	5.1	5.2	5	5.5	5	5.3	5.1	5.7	5.2	5.7	7	5	5.3	5.1	5.5	5	5.5	5.4	5.2	5.1	5	5.1	5.1	5.7	5.8			5.7	5.1		5.8					5.9	5.9		5	6.2		
103905650				5.1	5.1	5.6	7.4	5.2	6.4	5.6	6.1		5.3	5.8	5.8	5.2	5.6	5			5		5.5	5.4		5	5.6	5.3	5.9	5.3		5.3	5.2	5.1		5.8	5.9	6.8	5.2	5.4		5.5	5.8	5.3	5.1	5.1	6	5.7	5.8	5.7	5.9	5.8	5.6	5.7	7.4	5			5.8	5.7	5.1	5.2	5.2	6.2	5.1	6	6.1	6	6.2	5	5.1	6.3	5.3	5.1	5.7	5.2	5.7	5.2	5		5	5.1	5	5.5	5.4	5.2	5.1	5	5.1	5.1	5.8	5.8	5.7	5.4	5.7	5.1	5.8	5.8	5.5				5.9	5.9		5	6.2		
103904743				6.8		5.6	7.4	5.2	6.4	5.6	6.1		5.2	6.7	6.7	5.1	5.6	6.3					5.7	5.9		6.3	5.6	5.3		6		7.3	6.7	5.8				6.9	7	5.9		5.5	5.8	6.3	6.8	6.7	5.9	5.7	5.8	6	5.9	7.2		5.7	6.8	5.9					6.8				6.9	6.4				6.4	5.1					7	5.3	5.2	6.8			5.7		5.5	5.4	5.2	5.1	6.8						6.3		5.5			5.5							6.5	6.2		
103904190	7.3	8.3			8.1	6.9	7.3	7.6	5.4	8.2	5.2	6.2	6.4	6.1	6.8	6.1	5.5		7.7	7.5	7.7	5.7	5.9	5.5	7.2		5.5	6.1	5.8	7.4	5.9	6.9	7.4	8.1	9.1	5.2	5.7	8.9	7.9	5.8	5.7										5.4				8.7				8.5		7.1	6.6		9.5	7.5																																						6.2	5.2	6.7	8.5	5.8	5.7	6.2
103904200	7.3	8.3			8.1	6.9	7.3	7.6	5.4	8.2	5.2	6.2	6.4	6.1	6.8	6.1	5.5		7.7	7.5	7.7	5.7	5.9	5.5	7.2		5.5	6.1	5.8	7.4	5.9	6.9	7.4	8.1	9.1	5.2	5.7	8.9	7.9												5.4				8.7				8.5		7.1	6.6		9.5	7.5																																	5.8					6.2	5.2	6.7	8.5	5.8	5.7	6.2
103904514	7	5.9	6.9	5.2	7.8	5.6	7.3	7.5	6.4	6.3	6.4			6.7	5.6	5.4	5.6				6.3		6.1	6.7		5	5.6	5.3	6.7	6		5.6	7	5.9			6.8	5.9	6.1	6.9		5.5	5.8	5.5	5.8	5.4	5.1	5.7	5.8	6	5.9	5.9	5.7	5.9	6	7			5.8		5.6	6.3	6.3	9.2	7.6	7.7	7.9	8.4	7.7	5.2	7.1	5.4	5.8	5.5	6.5	6.5	6.1	8.2	5	5.3	5.5	5.9	5.4	5.5	5.4	6.7	6.9	5.1	6	5.2	6.8	6						5.8					5.9	5.9		7.9	6.2		
103904535	7.6	5.7	6.9		7.6		7.3	7.9		7.1					6						5.9									6.8		6.2		5.7				7.3																	5.6				7.3		5.5	5.5		9.1	7.9									6.1																								5.8								8.2			
103904222	6.9	8.8	7.2		7.4		7.3	8		7.1			6.4		5.9						7.6									6.3		5.7		7.4				7.4																	7.7				9		6.6	6.1		9	6.6									7.3																								5.8								7.2			
103904507	6.7	5.4	6.4	5.5	6.9	5.6	7.3	7.3	5.4	5.7	5.2	6.6	8.7	5.6	5.3	5.6	5.2	5.5	5.5	5.4	5.7	5.4	6.3	6	5.6	5.5	5.5	5.4	5.5	5.5	5.6	5.4	6.4	5.6	5.8	5.2	5.7	5.7	5.4	5.8	6.1	5.6													5.3				6.4		5.5	5.5		8.5	7.6									5.3																								5.8					5.2	5.2	5.4	8	5.6	5.4	5.4
103904521	6.7	7.9	6.9		6.7		7.3	7.7		6.7			7.7		6.7						6.6									7.1		6.6		8.2																					7.5						6.3	6.6		9.4	6.8									6.8																								5.9								6.8			
103904527				5.1	6.6	5.6	7.3	7.8	6.4	5.6	6.1		7.4	5.8	5.8	5.1	5.6				6.2		5.5	5.4		5	5.6	5.3	5.9	5.3		6.1	6.1	5.1			5.9	5.8	6.1	5.8		5.5	5.8	5.1	5.1	5.1	5.9	5.7	5.8	5.7	5.9	5.8		5.7	6	5.7			5.8	5.7	5.1	5.2	5.2	8.3	6.4	5.8	5.4	5.7	5.8	5	6.1	5.4	5.3	5.2	5.7	5.7	5.7	7.6	5	5.3	5	6.2	5	5.5	5.4	5.6	5.6	5	5.1	5.1	5.7	5.8			5.7	5.1		5.8					5.9	5.9		5.5	6.2		
103904604	5.6	6.5	7.8	6.3	6.2	6.5	7.3	7	7	6.7	6.1			7.5	8	6.6	6.3				7.2		8.3	8.8		6.1	5.7	5.3	5.9	5.9		6.4	6.4	6			7.1	6.6	6.2			6.8	6	7.5	5.1	5.1	8.2	6.4	5.8	6.6	6.3	6.2	5.6	7.5	6.8	6.7			5.8	7.1	6.6	6.6	6.2		7.3	6.5	6.5	7	6.4	6.6	6.3	6.9	5.8	6.6		6.4	6.1	8	5	5.3	7.5	6.6	5	6.6	6.3	7.5	7.1	5	5.6	5.6	5.7	5.8			8.1			8					5.8	5.9		7.1	6.2		
103904192	7.6		7	5.1	8.4	6.8	7.2	8.4	6.7	7.4	8		8	7.5	8.1	6	7.2						5.5	5.7		5	6.8	6.3	7.5	5.7		6.8	8.4	7.7			6.7	7.6		5.8		5.5	6.6	5.1	5.4	5.1	5.1	6.7	5.8	5.7	5.9	5.8	6.2	6.5	8	6.4			6.4			7.1	7		7.7	5.8	7.8	8.2	7.7	7	6.2	6.8	5.3	8.6	7.8	7.1	7.1	5.8	5	5.3	8	7.2	5	5.5	5.8	6.7	6.2	5	5.5	6.8	6.7	5.8											6.5	5.9		8.3	6.3		
103904219	7.2		7.5		7.5		7.2	7.2		6.6			5.8	5.6	6.3						6.8									5.5		5.3		6.7					5.8																5.8				7.8		6	6.1		9	6.7									6.7																								5.8								6.5			
103904199	7	7.8	8.3		7.4	6.3	7.2	7.4	5.4	5.8	5.2	6.2	5.8	5.9	5.8	5.9	5.3		6.7	6.5	7.4	5.4	6	5.4	7.1		5.5	5.8	5.7	7.3	5.6	6.6	7.1	7.6	8.1	5.2	5.6	8.9	7.2	5.8	5.7										5.4				8.6				8.5		7.1	5.9		9.5	7.6									8																								5.8					5.8	5.2	6.4	8	5.4	5.4	5.6
