PDB_ID	Chain_ID	Resolution	Gene_Name	HET_ID	Ki_nM_	IC50_nM_
4U8Z	A	1.63	STK24, MST3, STK3	3FE		178 (BDB)
4USF	A	1.75	SLK, KIAA0204, STK2	6UI		
4WOT	A	2.93	ROCK2, KIAA0619	3SG		1.6-46 (BDB)
4X7Q	A	2.33	PIM2	3YR		14 (BDB)
4YLK	A	1.40	DYRK1A, DYRK, MNB, MNBH	4E2		180 (BDB)
4YMJ	A	2.00	NTRK3, TRKC	4EJ		100 (BDB)
5BX6	A	1.89	PRKACA, PKACA	495		
5EAK	A	2.80	MARK2, EMK1	24R		
5EBZ	A	4.50	CHUK, IKKA, TCF16	5TL		
5EZV	A	2.99	P54646:, PRKAA2, AMPK, AMPK2, Q13131:, PRKAA1, AMPK1	STU		
5G1X	A	1.72	AURKA, AIK, AIRK1, ARK1, AURA, AYK1, BTAK, IAK1, STK15, STK6	ADP		
5GRN	A	1.77	PDGFRA, PDGFR2, RHEPDGFRA	748		
5H2U	A	2.24	PTK6, BRK	1N1		9 (BDB)
5HES	A	2.14	ZAK, MLTK, HCCS4	032		
5HU9	A	1.53	ABL1, ABL, JTK7	66K		
5JIX	A	1.47	PRKG2, PRKGR2	6J7		
5JZN	A	2.85	DCLK1, DCAMKL1, DCDC3A, KIAA0369	GUI		
5L0N	A	1.28	PRKG1, PRKG1B, PRKGR1A, PRKGR1B	6ZA		
5LI9	A	1.79	PRKCI, DXS1179E	ACP		
5MY8	A	1.70	SRPK1	RXZ		
5NKF	A	1.10	EPHA2, ECK	8ZN		
5U6B	A	2.84	AXL, UFO	7YS		
